"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"Unaided no-training","28","Amended-linear",0.944432645192251,0.952761927845668,0.991257750325677,0.903192247276641,0.968396244863805,1.05904133459444,0.119779627357231
"SAD-aided","39","Linear",0.941273709017074,0.94522160118225,0.995823315759778,0.896709704219832,0.966945898269853,0.984735849200062,-0.0902873097863661
"Unaided no-training","39","Linear",0.939931728438008,0.942657662656989,0.99710824583837,0.895523454561303,0.965804569357096,1.07754934567005,-0.0148050753603108
"Unaided after-training","19","Linear",0.939846656589958,0.971057792799413,0.967858621349943,0.899562150819889,0.96427735122818,1.05469117173494,0.252153700149946
"Unaided no-training","12","Linear",0.939818380165376,0.955196153989667,0.983900925731264,0.896156698556916,0.965456621867695,0.943699270341144,0.171365431353711
"Unaided no-training","35","Amended-linear",0.939706725746197,0.943608574668572,0.995864970892465,0.895487039697411,0.96555692705718,1.08623916328573,0.0381793226542786
"Unaided no-training","7","Amended-linear",0.938896379039561,0.93925524790248,0.99961792189746,0.892335922209581,0.965686395932649,0.996904664052846,0.0274743049153942
"Unaided after-training","16","Amended-linear",0.937072801926431,0.959360948964329,0.976767714944038,0.897585706021869,0.961642907509963,1.19115441285261,-0.129975350986854
"Unaided no-training","9","Linear",0.935591753716226,0.961235737461446,0.97332185774434,0.893569307629726,0.961360878043104,1.15516059166875,-0.184330284913632
"Unaided no-training","34","Amended-linear",0.934274489516328,0.934938533604947,0.999289745726856,0.884421064658176,0.96304599913634,1.00419132063111,0.0374703127734447
"Unaided after-training","2","Linear",0.930984982985782,0.96024108019052,0.96953254988952,0.883410406629263,0.959563466459041,0.961609614486636,0.24762292175323
"Unaided no-training","21","Amended-linear",0.930025478646563,0.961362981449388,0.967403048164411,0.885250349379813,0.957721234497142,1.1616812872432,-0.21186798268601
"SAD-aided","15","Linear",0.928053345138308,0.931059901664845,0.996770823744895,0.875236479833931,0.958999803619828,1.07946871862222,-0.025078244691938
"Unaided after-training","11","Amended-linear",0.924379402930686,0.932086867300074,0.991730959162944,0.868140458841226,0.957181845105767,1.00231539075311,-0.129114783625014
"Unaided no-training","30","Linear",0.923404867586506,0.970922089137104,0.951059696671615,0.877711251314235,0.952457200502188,1.16745975380966,0.280886250486832
"Unaided after-training","23","Linear",0.923364376690935,0.970196604617487,0.951729136441354,0.880223816724538,0.951368614015063,1.23329340228513,-0.23939042024292
"Unaided no-training","33","Linear",0.922263174523364,0.929190810868206,0.992544441611117,0.867005561689496,0.955113876406672,1.11603859188535,-0.0543890436313343
"SAD-aided","34","Amended-linear",0.921634664726926,0.9311800147271,0.989749189362734,0.865099735781789,0.955047594384631,1.08793189722461,0.116648517162251
"Unaided no-training","8","Amended-linear",0.921608539261332,0.951000750943953,0.969093387514735,0.867105869369574,0.954305567571669,0.995138000682116,0.252509081148944
